id,department,priority
VAC_0136,People,High
VAC_0137,Logistics,High
VAC_0138,Logistics,Low
VAC_0139,Logistics,High
VAC_0140,Engineering,High
VAC_0141,Engineering,Medium
VAC_0142,R&D,High
VAC_0143,Marketing,Low
VAC_0144,Operations,Low
VAC_0145,Operations,High
VAC_0146,Sales,Low
VAC_0147,Risk & Compliance,High
VAC_0148,Risk & Compliance,High
VAC_0149,IT,High
VAC_0150,People,High
VAC_0151,IT,Low
VAC_0152,Sales,Medium
VAC_0153,People,High
VAC_0154,Marketing,Low
VAC_0155,Risk & Compliance,Medium
VAC_0156,Engineering,Medium
VAC_0157,IT,Medium
VAC_0158,Operations,Medium
VAC_0159,Sales,Medium
VAC_0160,People,High
VAC_0161,Operations,Medium
VAC_0162,Engineering,High
VAC_0163,Engineering,High
VAC_0164,Logistics,Low
VAC_0165,Marketing,Low
VAC_0166,Sales,Low
VAC_0167,R&D,High
VAC_0168,R&D,Low
VAC_0169,Risk & Compliance,Low
VAC_0170,Logistics,Low
VAC_0171,Engineering,Medium
VAC_0172,Risk & Compliance,Medium
VAC_0173,Marketing,Low
VAC_0174,Marketing,Low
VAC_0175,Operations,Low
VAC_0176,Finance,High
VAC_0177,Operations,High
VAC_0178,Marketing,Low
VAC_0179,Marketing,High
VAC_0180,Operations,Medium
VAC_0181,Logistics,Medium
VAC_0182,Logistics,Medium
VAC_0183,People,High
VAC_0184,Marketing,Medium
VAC_0185,R&D,Low
VAC_0186,People,High
VAC_0187,People,High
VAC_0188,Logistics,Low
VAC_0189,Operations,High
VAC_0190,Engineering,Low
VAC_0191,R&D,Medium
VAC_0192,Marketing,High
VAC_0193,Finance,Medium
VAC_0194,IT,Medium
VAC_0195,People,Low
VAC_0196,People,Medium
VAC_0197,Logistics,High
VAC_0198,Logistics,Low
VAC_0199,R&D,Medium
VAC_0200,Marketing,High
VAC_0201,R&D,Medium
VAC_0202,Engineering,Low
VAC_0203,Sales,Low
VAC_0204,Logistics,Medium
VAC_0205,Logistics,Medium
VAC_0206,Sales,Medium
VAC_0207,R&D,Medium
VAC_0208,Operations,Medium
VAC_0209,IT,High
VAC_0210,Sales,Medium
VAC_0211,People,High
VAC_0212,IT,Medium
VAC_0213,IT,Medium
VAC_0214,IT,High
VAC_0215,Risk & Compliance,High
VAC_0216,People,Medium
VAC_0217,People,High
VAC_0218,IT,Low
VAC_0219,Engineering,High
VAC_0220,Engineering,Medium
VAC_0221,Engineering,High
VAC_0222,Logistics,Low
VAC_0223,Finance,Medium
VAC_0224,Marketing,Low
VAC_0225,Marketing,Low
VAC_0226,Sales,Medium
VAC_0227,R&D,Medium
VAC_0228,Risk & Compliance,Low
VAC_0229,Logistics,Low
VAC_0230,Engineering,High
VAC_0231,R&D,Low
VAC_0232,People,Low
VAC_0233,Operations,High
VAC_0234,Finance,Low
VAC_0235,Engineering,High
VAC_0236,Finance,Low
VAC_0237,People,High
VAC_0238,Marketing,Medium
VAC_0239,IT,High
VAC_0240,R&D,Medium
VAC_0241,Marketing,High
VAC_0242,R&D,Low
VAC_0243,Marketing,High
VAC_0244,Marketing,High
VAC_0245,Sales,Low
VAC_0246,Sales,High
VAC_0247,Operations,High
VAC_0248,Marketing,Medium
VAC_0249,Sales,High
VAC_0250,People,Low
VAC_0251,Logistics,Medium
VAC_0252,Logistics,High
VAC_0253,Risk & Compliance,Low
VAC_0254,Finance,Low
VAC_0255,Marketing,High
VAC_0256,Marketing,Medium
VAC_0257,R&D,Low
VAC_0258,R&D,Medium
VAC_0259,Logistics,High
VAC_0260,Sales,High
VAC_0261,People,High
VAC_0262,Operations,Low
VAC_0263,IT,High
VAC_0264,IT,High
VAC_0265,Engineering,Medium
VAC_0266,People,High
VAC_0267,Engineering,Low
VAC_0268,Risk & Compliance,High
VAC_0269,R&D,High
VAC_0270,Operations,Low
VAC_0271,IT,Medium
VAC_0272,Risk & Compliance,Low
VAC_0273,Risk & Compliance,Low
VAC_0274,People,Low
VAC_0275,Finance,Low
VAC_0276,R&D,Medium
VAC_0277,People,High
VAC_0278,People,High
VAC_0279,IT,High
VAC_0280,R&D,Medium
VAC_0281,Logistics,High
VAC_0282,Marketing,High
VAC_0283,Finance,High
VAC_0284,Finance,Medium
VAC_0285,R&D,Low
VAC_0286,R&D,Medium
VAC_0287,IT,Medium
VAC_0288,Operations,Medium
VAC_0289,IT,High
VAC_0290,Logistics,Medium
VAC_0291,Risk & Compliance,High
VAC_0292,Risk & Compliance,Low
VAC_0293,R&D,Medium
VAC_0294,R&D,High
VAC_0295,Marketing,High
VAC_0296,Marketing,Medium
VAC_0297,Logistics,Medium
VAC_0298,IT,Medium
VAC_0299,IT,Medium
VAC_0300,Risk & Compliance,Medium
VAC_0301,Finance,Low
VAC_0302,Logistics,High
VAC_0303,Operations,Low
VAC_0304,IT,High
VAC_0305,Finance,High
VAC_0306,IT,Medium
VAC_0307,Sales,High
VAC_0308,Finance,High
VAC_0309,Engineering,High
VAC_0310,IT,Medium
VAC_0311,Sales,Low
VAC_0312,R&D,Low
VAC_0313,R&D,Low
VAC_0314,Engineering,Low
VAC_0315,Logistics,Low
VAC_0316,R&D,Medium
VAC_0317,Risk & Compliance,High
VAC_0318,R&D,Medium
VAC_0319,Finance,Low
VAC_0320,Operations,Medium
VAC_0321,Finance,High
VAC_0322,Operations,Medium
VAC_0323,Risk & Compliance,Low
VAC_0324,IT,Low
VAC_0325,Operations,Low
VAC_0326,Operations,Low
VAC_0327,Engineering,Medium
VAC_0328,Finance,Medium
VAC_0329,Sales,Medium
VAC_0330,Logistics,High
VAC_0331,Sales,High
VAC_0332,R&D,Low
VAC_0333,Operations,Low
VAC_0334,Marketing,Low
VAC_0335,Sales,High
VAC_0336,Finance,High
VAC_0337,Finance,Low
VAC_0338,Engineering,Low
VAC_0339,Finance,High
VAC_0340,Logistics,High
VAC_0341,Logistics,Low
VAC_0342,Logistics,Low
VAC_0343,Engineering,Low
VAC_0344,Sales,Medium
VAC_0345,Engineering,Low
VAC_0346,Engineering,Medium
VAC_0347,Engineering,Medium
VAC_0348,People,Medium
VAC_0349,Sales,Low
VAC_0350,Sales,Medium
VAC_0351,Engineering,Low
VAC_0352,Logistics,Low
VAC_0353,Sales,High
VAC_0354,IT,Medium
VAC_0355,Logistics,Medium
VAC_0356,Sales,Medium
VAC_0357,R&D,Low
VAC_0358,Operations,High
VAC_0359,Operations,High
VAC_0360,Sales,Medium
VAC_0361,Sales,Low
VAC_0362,People,High
VAC_0363,Logistics,Medium
VAC_0364,Operations,Medium
VAC_0365,Operations,Medium
VAC_0366,Logistics,Medium
VAC_0367,Marketing,High
VAC_0368,Risk & Compliance,Low
VAC_0369,Logistics,Medium
VAC_0370,Sales,Medium
VAC_0371,Sales,High
VAC_0372,People,Low
VAC_0373,People,High
VAC_0374,Logistics,Medium
VAC_0375,Finance,High
VAC_0376,People,High
VAC_0377,IT,Medium
VAC_0378,Logistics,Medium
VAC_0379,R&D,Low
VAC_0380,IT,Low
VAC_0381,Finance,High
VAC_0382,R&D,Medium
VAC_0383,People,High
VAC_0384,Marketing,High
VAC_0385,IT,Medium
VAC_0386,Sales,Medium
VAC_0387,IT,Low
VAC_0388,People,High
VAC_0389,People,Medium
VAC_0390,Sales,High
VAC_0391,Sales,Medium
VAC_0392,Marketing,High
VAC_0393,Risk & Compliance,High
VAC_0394,Logistics,Medium
VAC_0395,IT,Medium
VAC_0396,Finance,Medium
VAC_0397,Sales,Low
VAC_0398,Engineering,Low
VAC_0399,IT,Medium
VAC_0400,Marketing,High
VAC_0401,Engineering,Low
VAC_0402,Logistics,Low
VAC_0403,Sales,Low
VAC_0404,Engineering,Low
VAC_0405,People,High
VAC_0406,Finance,Medium
VAC_0407,Operations,Low
VAC_0408,Operations,Medium
VAC_0409,Risk & Compliance,High
VAC_0410,Operations,Low
VAC_0411,Engineering,High
VAC_0412,Sales,Low
VAC_0413,R&D,High
VAC_0414,Marketing,High
VAC_0415,Marketing,Low
VAC_0416,Sales,Medium
VAC_0417,Finance,Medium
VAC_0418,Logistics,Medium
VAC_0419,Sales,Low
VAC_0420,Sales,High
VAC_0421,Finance,High
VAC_0422,Finance,Medium
VAC_0423,Logistics,Low
VAC_0424,Sales,Low
VAC_0425,Risk & Compliance,Low
VAC_0426,People,High
VAC_0427,Finance,Medium
VAC_0428,R&D,Medium
VAC_0429,People,Low
VAC_0430,Logistics,Medium
VAC_0431,Operations,Low
VAC_0432,Engineering,Low
VAC_0433,Logistics,Low
VAC_0434,Marketing,High
VAC_0435,IT,Medium
VAC_0436,Engineering,High
VAC_0437,Marketing,Medium
VAC_0438,People,Low
VAC_0439,Marketing,Medium
VAC_0440,People,Medium
VAC_0441,Logistics,Medium
VAC_0442,Engineering,High
VAC_0443,Risk & Compliance,Low
VAC_0444,IT,Low
VAC_0445,Operations,Medium
VAC_0446,Finance,Low
VAC_0447,IT,Low
VAC_0448,Marketing,High
VAC_0449,Finance,High
VAC_0450,IT,Low
VAC_0451,People,Medium
VAC_0452,Logistics,High
VAC_0453,Logistics,Medium
VAC_0454,Logistics,Medium
VAC_0455,Finance,High
VAC_0456,Risk & Compliance,Medium
VAC_0457,People,Medium
VAC_0458,Engineering,Low
VAC_0459,Engineering,High
VAC_0460,IT,Low
VAC_0461,Logistics,Low
VAC_0462,Operations,Low
VAC_0463,Logistics,High
VAC_0464,IT,Medium
VAC_0465,Operations,Medium
VAC_0466,Logistics,Low
VAC_0467,Finance,High
VAC_0468,R&D,Medium
VAC_0469,People,Low
VAC_0470,Sales,Low
VAC_0471,Sales,Medium
VAC_0472,R&D,Low
VAC_0473,IT,Low
VAC_0474,Risk & Compliance,Medium
VAC_0475,Marketing,Medium
VAC_0476,Finance,High
VAC_0477,Operations,Low
VAC_0478,Risk & Compliance,High
VAC_0479,IT,High
VAC_0480,Sales,Medium
VAC_0481,Operations,High
VAC_0482,People,Medium
VAC_0483,Engineering,Medium
VAC_0484,Engineering,Low
VAC_0485,Logistics,High
VAC_0486,Marketing,Low
VAC_0487,Marketing,Medium
VAC_0488,Risk & Compliance,Low
VAC_0489,Risk & Compliance,Low
VAC_0490,Operations,Medium
VAC_0491,Operations,High
VAC_0492,Logistics,Low
VAC_0493,Logistics,Medium
VAC_0494,Operations,High
VAC_0495,Risk & Compliance,Low
VAC_0496,Risk & Compliance,Medium
VAC_0497,Finance,High
VAC_0498,Engineering,Medium
VAC_0499,IT,Low
VAC_0500,Operations,Low
