Nome_Tabela,Nome_Coluna,Dominio_Negocio,Classificacao_Confidencialidade,Proprietario_Dado,Regras_Qualidade_Dados,Freq_Atualizacao,Retencao_Dados_Anos,Regra_Negocio_Associada,Termo_Glossario_DMBOK
Envio,ID_Pedido,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; deve referenciar um ID_Pedido existente",Diária,5,"Chave estrangeira para o pedido de venda associado ao envio.","Pedido de Envio"
Envio,ID_Rota,Cadeia Logística,Interno,Cadeia Logística,"Pode ser nulo; deve referenciar um ID_Rota existente",Diária,5,"Chave estrangeira para a rota de entrega utilizada.","Rota de Envio"
Envio,Data_Envio,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; data e hora no passado ou presente",Diária,5,"Data e hora em que o envio foi realizado.","Data do Envio"
Envio,Status_Envio,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; valores permitidos: 'Em Trânsito', 'Entregue', 'Atrasado', 'Cancelado'",Diária,5,"Estado atual do envio.","Status do Envio"
Recebimento_Materia_Prima,ID_Recebimento,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; formato numérico",Diária,5,"Identificador único de um registro de recebimento de matéria-prima.","Identificador do Recebimento"
Recebimento_Materia_Prima,ID_Fornecedor,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; deve referenciar um ID_Fornecedor existente",Diária,5,"Chave estrangeira para o fornecedor da matéria-prima.","Fornecedor do Recebimento"
Recebimento_Materia_Prima,ID_Materia_Prima,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; deve referenciar um ID_Materia_Prima existente",Diária,5,"Chave estrangeira para a matéria-prima recebida.","Matéria-Prima Recebida"
Recebimento_Materia_Prima,Data_Recebimento,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; data e hora no passado ou presente",Diária,5,"Data e hora em que a matéria-prima foi recebida.","Data do Recebimento"
Recebimento_Materia_Prima,Quantidade_Recebida,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; valor positivo",Diária,5,"Quantidade da matéria-prima recebida.","Quantidade Recebida"
Fornecedor,ID_Fornecedor,Producao,Interno,Producao,"Não nulo; formato numérico",Diária,10,"Identificador único do fornecedor de matérias-primas e serviços.","Identificador do Fornecedor"
Fornecedor,Nome_Fornecedor,Producao,Interno,Producao,"Não nulo; único",Diária,10,"Nome comercial do fornecedor.","Nome do Fornecedor"
Fornecedor,Contato_Email,Producao,Interno,Producao,"Pode ser nulo; formato de e-mail válido",Diária,10,"E-mail de contato do fornecedor.","Email de Contato do Fornecedor"
Materia_Prima,ID_Materia_Prima,Producao,Interno,Producao,"Não nulo; formato numérico",Diária,10,"Identificador único da matéria-prima utilizada na produção.","Identificador da Matéria-Prima"
Materia_Prima,Nome_Materia_Prima,Producao,Interno,Producao,"Não nulo; único",Diária,10,"Nome da matéria-prima.","Nome da Matéria-Prima"
Materia_Prima,Unidade_Medida,Producao,Interno,Producao,"Não nulo; valores como 'kg', 'metro', 'litro', 'unidade'",Diária,10,"Unidade de medida padrão para a matéria-prima.","Unidade de Medida"
Receita_Produto,ID_Receita,Producao,Interno,Producao,"Não nulo; formato numérico",Mensal,15,"Identificador único da receita de fabricação de um produto.","Identificador da Receita"
Receita_Produto,ID_Produto,Producao,Interno,Producao,"Não nulo; deve referenciar um ID_Produto existente",Mensal,15,"Chave estrangeira para o produto final que esta receita produz.","Produto Final da Receita"
Item_Receita,ID_Item_Receita,Producao,Interno,Producao,"Não nulo; formato numérico",Mensal,15,"Identificador único de um item componente dentro de uma receita.","Identificador do Item da Receita"
Item_Receita,ID_Receita,Producao,Interno,Producao,"Não nulo; deve referenciar um ID_Receita existente",Mensal,15,"Chave estrangeira para a receita à qual o item pertence.","Receita Associada"
Item_Receita,ID_Materia_Prima,Producao,Interno,Producao,"Não nulo; deve referenciar um ID_Materia_Prima existente",Mensal,15,"Chave estrangeira para a matéria-prima necessária para o item da receita.","Matéria-Prima do Item"
Item_Receita,Quantidade_Necessaria,Producao,Interno,Producao,"Não nulo; valor positivo",Mensal,15,"Quantidade da matéria-prima necessária para produzir o item da receita.","Quantidade Necessária"
Producao_Ordem,ID_Ordem_Producao,Producao,Interno,Producao,"Não nulo; formato numérico",Diária,10,"Identificador único de uma ordem de produção.","Identificador da Ordem de Produção"
Producao_Ordem,ID_Produto,Producao,Interno,Producao,"Não nulo; deve referenciar um ID_Produto existente",Diária,10,"Chave estrangeira para o produto a ser produzido.","Produto da Ordem de Produção"
Producao_Ordem,Quantidade_Produzir,Producao,Interno,Producao,"Não nulo; valor inteiro positivo",Diária,10,"Quantidade de itens do produto a serem produzidos.","Quantidade a Produzir"
Producao_Ordem,Data_Inicio_Prevista,Producao,Interno,Producao,"Não nulo; data futura ou presente",Diária,10,"Data prevista para o início da produção.","Data de Início Prevista"
Producao_Ordem,Status_Producao,Producao,Interno,Producao,"Não nulo; valores como 'Planejada', 'Em Progresso', 'Concluída', 'Cancelada'",Diária,10,"Status atual da ordem de produção.","Status da Produção"
Funcionario,ID_Funcionario,RH,Restrito,RH,"Não nulo; formato numérico",Diária,20,"Identificador único do funcionário na empresa.","Identificador do Funcionário"
Funcionario,Nome_Funcionario,RH,Restrito,RH,"Não nulo",Diária,20,"Nome completo do funcionário.","Nome do Funcionário"
Funcionario,Email_Funcionario,RH,Restrito,RH,"Não nulo; formato de e-mail válido; único",Diária,20,"E-mail corporativo principal do funcionário.","Email do Funcionário"
Funcionario,Data_Contratacao,RH,Interno,RH,"Não nulo; data no passado",Diária,20,"Data em que o funcionário foi contratado pela empresa.","Data de Contratação"
Cargo,ID_Cargo,RH,Interno,RH,"Não nulo; formato numérico",Mensal,15,"Identificador único do cargo na estrutura organizacional.","Identificador do Cargo"
Cargo,Nome_Cargo,RH,Interno,RH,"Não nulo; único",Mensal,15,"Nome oficial do cargo (e.g., 'Engenheiro de Software', 'Analista de RH').","Nome do Cargo"
Funcionario_Cargo,ID_Funcionario_Cargo,RH,Interno,RH,"Não nulo; formato numérico",Diária,15,"Identificador único da associação entre funcionário e cargo.","Identificador da Associação Funcionário-Cargo"
Funcionario_Cargo,ID_Funcionario,RH,Restrito,RH,"Não nulo; deve referenciar um ID_Funcionario existente",Diária,15,"Chave estrangeira para o funcionário.","Funcionário Associado"
Funcionario_Cargo,ID_Cargo,RH,Interno,RH,"Não nulo; deve referenciar um ID_Cargo existente",Diária,15,"Chave estrangeira para o cargo.","Cargo Associado"
Departamento,ID_Departamento,RH,Interno,RH,"Não nulo; formato numérico",Mensal,15,"Identificador único do departamento.","Identificador do Departamento"
Departamento,Nome_Departamento,RH,Interno,RH,"Não nulo; único",Mensal,15,"Nome do departamento (e.g., 'Recursos Humanos', 'Tecnologia da Informação').","Nome do Departamento"
Fatura_Venda,ID_Fatura_Venda,Financas,Confidencial,Financas,"Não nulo; formato numérico",Diária,7,"Identificador único da fatura de venda emitida para um pedido.","Identificador da Fatura de Venda"
Fatura_Venda,ID_Pedido,Financas,Confidencial,Financas,"Não nulo; deve referenciar um ID_Pedido existente",Diária,7,"Chave estrangeira para o pedido de venda associado.","Pedido de Venda Associado"
Fatura_Venda,Data_Fatura,Financas,Confidencial,Financas,"Não nulo; data no passado ou presente",Diária,7,"Data de emissão da fatura.","Data da Fatura"
Fatura_Venda,Valor_Total,Financas,Confidencial,Financas,"Não nulo; valor positivo; formato monetário",Diária,7,"Valor total da fatura.","Valor Total da Fatura"
Fatura_Venda,Status_Pagamento,Financas,Confidencial,Financas,"Não nulo; valores permitidos: 'Pago', 'Pendente', 'Atrasado', 'Cancelado'",Diária,7,"Status do pagamento da fatura.","Status de Pagamento"
Conta_Contabil,ID_Conta_Contabil,Financas,Confidencial,Financas,"Não nulo; formato numérico",Mensal,20,"Identificador único da conta contábil.","Identificador da Conta Contábil"
Conta_Contabil,Numero_Conta,Financas,Confidencial,Financas,"Não nulo; único; formato de número de conta válido",Mensal,20,"Número da conta contábil conforme o plano de contas (e.g., 1.01.01.001).","Número da Conta Contábil"
Conta_Contabil,Nome_Conta,Financas,Confidencial,Financas,"Não nulo",Mensal,20,"Nome descritivo da conta contábil (e.g., 'Ativos Circulantes - Caixa').","Nome da Conta Contábil"
Lancamento_Contabil,ID_Lancamento,Financas,Confidencial,Financas,"Não nulo; formato numérico",Diária,15,"Identificador único do lançamento contábil.","Identificador do Lançamento Contábil"
Lancamento_Contabil,ID_Conta_Contabil,Financas,Confidencial,Financas,"Não nulo; deve referenciar um ID_Conta_Contabil existente",Diária,15,"Chave estrangeira para a conta contábil do lançamento.","Conta Contábil do Lançamento"
Lancamento_Contabil,Data_Lancamento,Financas,Confidencial,Financas,"Não nulo; data no passado",Diária,15,"Data em que o lançamento contábil ocorreu.","Data do Lançamento"
Lancamento_Contabil,Valor,Financas,Confidencial,Financas,"Não nulo; valor numérico",Diária,15,"Valor do lançamento contábil.","Valor do Lançamento"
Lancamento_Contabil,Tipo_Lancamento,Financas,Confidencial,Financas,"Não nulo; valores permitidos: 'Débito', 'Crédito'",Diária,15,"Tipo do lançamento contábil (débito ou crédito).","Tipo de Lançamento"
Centro_Custo,ID_Centro_Custo,Financas,Confidencial,Financas,"Não nulo; formato numérico",Mensal,10,"Identificador único do centro de custo.","Identificador do Centro de Custo"
Centro_Custo,Nome_Centro_Custo,Financas,Confidencial,Financas,"Não nulo; único",Mensal,10,"Nome do centro de custo (e.g., 'Marketing', 'Vendas', 'Produção').","Nome do Centro de Custo"
Lancamento_Contabil_CC,ID_Lancamento_CC,Financas,Confidencial,Financas,"Não nulo; formato numérico",Diária,10,"Identificador único da associação entre um lançamento contábil e um centro de custo.","Identificador da Associação Lançamento-Centro de Custo"
Lancamento_Contabil_CC,ID_Lancamento,Financas,Confidencial,Financas,"Não nulo; deve referenciar um ID_Lancamento existente",Diária,10,"Chave estrangeira para o lançamento contábil.","Lançamento Contábil Associado"
Lancamento_Contabil_CC,ID_Centro_Custo,Financas,Confidencial,Financas,"Não nulo; deve referenciar um ID_Centro_Custo existente",Diária,10,"Chave estrangeira para o centro de custo.","Centro de Custo Associado"
Pagamento_Fornecedor,ID_Pagamento_Fornecedor,Financas,Confidencial,Financas,"Não nulo; formato numérico",Diária,7,"Identificador único de um pagamento realizado a um fornecedor.","Identificador do Pagamento a Fornecedor"
Pagamento_Fornecedor,ID_Fornecedor,Financas,Confidencial,Financas,"Não nulo; deve referenciar um ID_Fornecedor existente",Diária,7,"Chave estrangeira para o fornecedor que recebeu o pagamento.","Fornecedor Pago"
Pagamento_Fornecedor,Valor_Pago,Financas,Confidencial,Financas,"Não nulo; valor positivo; formato monetário",Diária,7,"Valor total pago ao fornecedor.","Valor Pago"
Pagamento_Fornecedor,Data_Pagamento,Financas,Confidencial,Financas,"Não nulo; data no passado ou presente",Diária,7,"Data do pagamento.","Data do Pagamento"
Projeto_TI,ID_Projeto_TI,TI,Interno,TI,"Não nulo; formato numérico",Diária,5,"Identificador único de um projeto da área de TI.","Identificador do Projeto de TI"
Projeto_TI,Nome_Projeto,TI,Interno,TI,"Não nulo; único",Diária,5,"Nome descritivo do projeto de TI.","Nome do Projeto de TI"
Projeto_TI,Descricao_Projeto,TI,Interno,TI,"Pode ser nulo",Diária,5,"Descrição detalhada do escopo e objetivos do projeto de TI.","Descrição do Projeto de TI"
Projeto_TI,Status_Projeto,TI,Interno,TI,"Não nulo; valores permitidos: 'Ativo', 'Concluído', 'Pendente', 'Cancelado'",Diária,5,"Estado atual do projeto de TI.","Status do Projeto de TI"
Tarefa_TI,ID_Tarefa_TI,TI,Interno,TI,"Não nulo; formato numérico",Diária,3,"Identificador único de uma tarefa dentro de um projeto de TI.","Identificador da Tarefa de TI"
Tarefa_TI,Nome_Tarefa,TI,Interno,TI,"Não nulo",Diária,3,"Nome descritivo da tarefa de TI.","Nome da Tarefa de TI"
Tarefa_TI,Status_Tarefa,TI,Interno,TI,"Não nulo; valores permitidos: 'Aberto', 'Em Progresso', 'Fechado', 'Bloqueado'",Diária,3,"Status atual da tarefa de TI.","Status da Tarefa de TI"
Tarefa_TI,ID_Funcionario,TI,Interno,TI,"Pode ser nulo; deve referenciar um ID_Funcionario existente",Diária,3,"Chave estrangeira para o funcionário responsável pela tarefa.","Funcionário Responsável pela Tarefa"
